epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,3105.34,0.77796,0.80735,1.24781,0.80426,0.81733,0.80524,0.64312,0.84847,0.75357,1.19489,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,3155.16,0.78608,0.8075,1.2526,0.81899,0.80261,0.81796,0.65362,0.85217,0.74104,1.19562,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,3205.02,0.77927,0.79615,1.24833,0.81411,0.81821,0.80946,0.64501,0.85165,0.7541,1.20298,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,3255.26,0.78101,0.786,1.24791,0.8133,0.80595,0.81214,0.65106,0.85449,0.75221,1.20394,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,3305.55,0.77767,0.78014,1.2461,0.82287,0.80357,0.81961,0.65749,0.85318,0.74251,1.20373,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,3355.49,0.77076,0.77492,1.23754,0.81571,0.81286,0.81825,0.65781,0.85449,0.73664,1.2087,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,3405.35,0.77455,0.77142,1.24275,0.82546,0.80578,0.81564,0.65259,0.84694,0.73989,1.19978,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,3462.22,0.77067,0.77508,1.23836,0.82025,0.81364,0.82013,0.65331,0.85433,0.73683,1.20886,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,3512.35,0.77066,0.77714,1.23754,0.8163,0.81548,0.82097,0.6545,0.84669,0.72961,1.2042,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,3562.25,0.76661,0.76842,1.23882,0.8254,0.80755,0.8191,0.65346,0.85056,0.73379,1.20864,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,3612.21,0.75921,0.759,1.22966,0.8142,0.80882,0.81193,0.65313,0.84741,0.73149,1.19949,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,3662.4,0.76654,0.75855,1.23488,0.81664,0.81557,0.82002,0.6542,0.84909,0.73302,1.21006,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,4486.75,0.76581,0.75542,1.23181,0.81645,0.81585,0.82203,0.6555,0.8458,0.74805,1.20191,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
73,4547.73,0.75167,0.74438,1.22521,0.81754,0.8121,0.81659,0.65445,0.85302,0.74466,1.20779,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
74,4597.57,0.7477,0.73645,1.222,0.82158,0.81637,0.81757,0.65394,0.84781,0.74569,1.1944,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773
75,4647.76,0.75394,0.74043,1.22573,0.82147,0.82033,0.81572,0.65259,0.85444,0.73407,1.2053,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
76,4697.8,0.74257,0.73637,1.22058,0.82074,0.81474,0.82144,0.65615,0.85169,0.73762,1.19932,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
77,4747.91,0.74492,0.72886,1.21986,0.82424,0.81382,0.8229,0.6581,0.84815,0.73576,1.19241,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
78,4801.33,0.74851,0.72735,1.22284,0.82413,0.81458,0.82226,0.65846,0.84983,0.7357,1.19687,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377
79,4851.82,0.74596,0.74414,1.21919,0.82867,0.81174,0.82072,0.65725,0.85014,0.72968,1.1978,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
80,4902.02,0.73057,0.7154,1.21021,0.83491,0.81017,0.8215,0.65591,0.84136,0.72821,1.18717,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179
