epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,2928.55,0.91255,1.06387,1.37853,0.79141,0.80339,0.80901,0.61749,0.90102,0.73416,1.2575,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2990.05,0.90874,1.05424,1.37392,0.77735,0.81487,0.80626,0.616,0.92369,0.76569,1.2703,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3051.95,0.89876,1.05061,1.36561,0.77926,0.81195,0.79634,0.6207,0.89187,0.76068,1.24832,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3114.15,0.89992,1.0433,1.36926,0.78408,0.80877,0.79779,0.62494,0.88944,0.7686,1.25161,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3175.8,0.90243,1.04182,1.3641,0.80609,0.81671,0.81111,0.63249,0.89248,0.7451,1.25017,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3237.35,0.88899,1.03215,1.35845,0.79733,0.80636,0.80029,0.62563,0.88937,0.7634,1.2438,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3299.47,0.88984,1.01874,1.35988,0.79407,0.81226,0.80155,0.6301,0.89624,0.74249,1.24564,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3361.28,0.88714,1.00884,1.3549,0.78863,0.83649,0.80981,0.63237,0.88367,0.7491,1.24,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3422.77,0.88106,1.00825,1.35254,0.79925,0.82412,0.80543,0.62899,0.88753,0.7518,1.24596,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3485.03,0.87725,1.00432,1.3474,0.81233,0.82765,0.81507,0.63453,0.89537,0.74562,1.25286,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3546.93,0.87704,0.99441,1.34725,0.80137,0.82919,0.8241,0.64389,0.88696,0.72699,1.24135,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3608.59,0.88119,0.99304,1.35127,0.79728,0.82694,0.81642,0.63368,0.90841,0.74007,1.25543,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3670.66,0.87351,0.99025,1.34538,0.81383,0.812,0.80808,0.63328,0.89912,0.75806,1.24907,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3732.55,0.86993,0.97704,1.3421,0.82868,0.79033,0.81714,0.63934,0.87218,0.7422,1.23156,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3794.32,0.86815,0.96332,1.34174,0.8024,0.83426,0.82669,0.64849,0.86719,0.73461,1.22501,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3856.26,0.8755,0.98029,1.34232,0.81888,0.81082,0.81541,0.64441,0.86067,0.73578,1.21708,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3936.91,0.86628,0.95156,1.33557,0.83695,0.80124,0.81744,0.64256,0.87092,0.72965,1.22485,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3999.14,0.85872,0.95242,1.33011,0.84435,0.81636,0.82992,0.64709,0.87575,0.71432,1.22471,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4061.05,0.85137,0.94736,1.32524,0.84345,0.82293,0.82857,0.65102,0.88005,0.7179,1.2381,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4122.84,0.85216,0.93439,1.32371,0.8383,0.81502,0.82049,0.64481,0.86598,0.71538,1.2276,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4184.32,0.84429,0.93238,1.31722,0.82296,0.80306,0.82027,0.64374,0.87201,0.72297,1.22605,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4245.73,0.84772,0.93589,1.32195,0.80621,0.80864,0.81822,0.64699,0.86732,0.71872,1.22208,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4307.43,0.84857,0.91491,1.31777,0.83657,0.79251,0.82987,0.65403,0.86665,0.71765,1.22299,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4368.91,0.8411,0.91528,1.3148,0.82322,0.80983,0.8209,0.64992,0.87245,0.70891,1.23272,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4430.79,0.83198,0.90793,1.30908,0.821,0.81387,0.82379,0.65136,0.86093,0.70845,1.22436,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4492.45,0.84549,0.91187,1.31666,0.81175,0.8358,0.8315,0.65178,0.8641,0.69512,1.22,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4554.24,0.83361,0.8992,1.30812,0.81902,0.82932,0.83085,0.65422,0.86753,0.69835,1.22288,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4616.32,0.83069,0.88669,1.30512,0.81019,0.83108,0.83156,0.65381,0.87139,0.69869,1.22507,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4678.08,0.82566,0.88047,1.3044,0.84531,0.79829,0.82562,0.6498,0.87441,0.70585,1.22626,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4739.94,0.82496,0.87209,1.29707,0.84151,0.7977,0.82629,0.64802,0.88674,0.69997,1.23853,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4802.05,0.81849,0.87132,1.29242,0.8236,0.81901,0.82746,0.65144,0.88021,0.69192,1.23211,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4863.75,0.82027,0.85872,1.29543,0.79269,0.84606,0.82855,0.65222,0.87586,0.69533,1.23332,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4925.57,0.81029,0.85508,1.28849,0.79757,0.84952,0.83337,0.65497,0.8712,0.70231,1.22775,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4987.28,0.81025,0.8589,1.28896,0.82203,0.81467,0.83294,0.65686,0.87207,0.69785,1.22898,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5048.93,0.80717,0.85296,1.29138,0.81387,0.82943,0.83318,0.65717,0.87148,0.70172,1.226,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5110.61,0.80199,0.84286,1.2848,0.80589,0.8382,0.82936,0.65231,0.86868,0.70098,1.2229,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5173.08,0.8059,0.82955,1.28681,0.79982,0.84842,0.83029,0.65337,0.86218,0.70026,1.21929,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5234.44,0.79664,0.82293,1.27755,0.8092,0.84224,0.82961,0.6537,0.86421,0.69941,1.22194,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5296.55,0.79343,0.82547,1.27923,0.81167,0.83088,0.83171,0.65547,0.86352,0.69835,1.22014,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5358.49,0.79625,0.82413,1.27997,0.81186,0.84191,0.83504,0.65843,0.86098,0.69482,1.21484,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5419.93,0.78776,0.81007,1.27262,0.81424,0.83737,0.83508,0.65955,0.86515,0.69517,1.21871,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,5481.27,0.78359,0.81016,1.26986,0.81405,0.83903,0.83459,0.65908,0.86603,0.69217,1.21817,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,5542.96,0.7789,0.80668,1.26511,0.81564,0.83562,0.83204,0.66109,0.86373,0.69115,1.21521,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,5604.54,0.78504,0.80767,1.26883,0.8161,0.83226,0.83191,0.66295,0.86296,0.69063,1.2146,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,5664.54,0.79976,0.64766,1.3243,0.81176,0.8339,0.83533,0.66352,0.86202,0.69131,1.21662,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,5722.11,0.78116,0.61638,1.30775,0.81684,0.8237,0.83597,0.66521,0.85802,0.6905,1.21465,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,5780.24,0.76659,0.60092,1.29032,0.82545,0.82201,0.83625,0.6659,0.8578,0.69033,1.21408,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,5838.27,0.76011,0.58748,1.28628,0.81371,0.84492,0.83826,0.66491,0.85764,0.68994,1.21348,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5895.98,0.75629,0.58178,1.28373,0.82849,0.84042,0.83759,0.66358,0.8569,0.6877,1.21192,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5953.85,0.74977,0.56815,1.27991,0.82685,0.83479,0.83768,0.66592,0.85654,0.68379,1.21201,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,6011.88,0.74221,0.56183,1.26877,0.8267,0.83411,0.83586,0.66504,0.85788,0.68256,1.214,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,6069.77,0.74217,0.56359,1.27194,0.82846,0.83546,0.83615,0.66596,0.85884,0.68496,1.21559,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,6127.44,0.73337,0.54965,1.26327,0.83079,0.83407,0.83614,0.66629,0.85786,0.68486,1.21502,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,6185.31,0.73048,0.54836,1.26209,0.82223,0.83574,0.83846,0.66463,0.85728,0.68559,1.21542,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
