epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,5962.06,0.85261,0.94537,1.32736,0.79579,0.83219,0.81632,0.64348,0.88488,0.71855,1.23206,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6029.81,0.84595,0.93144,1.32204,0.7972,0.84883,0.82458,0.64579,0.88481,0.71594,1.22929,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6097.31,0.85782,0.92995,1.32315,0.7812,0.86191,0.82256,0.63829,0.87687,0.71065,1.22065,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6164.85,0.83929,0.91977,1.31396,0.80711,0.84339,0.82694,0.64492,0.88014,0.70234,1.23286,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6232.63,0.83943,0.91573,1.31695,0.80235,0.8456,0.82786,0.64401,0.87995,0.70791,1.23232,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6299.65,0.84341,0.90823,1.31745,0.79668,0.86377,0.82457,0.64755,0.8749,0.69817,1.22834,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6366.97,0.84095,0.90049,1.31242,0.82364,0.8279,0.82723,0.65127,0.88687,0.70973,1.23369,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6434.05,0.8296,0.89088,1.30761,0.81018,0.84603,0.829,0.65042,0.88022,0.69784,1.23416,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6544.21,0.82972,0.88902,1.30505,0.81418,0.83428,0.8299,0.6533,0.87752,0.68603,1.2334,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6874.97,0.82364,0.88415,1.29882,0.81977,0.84379,0.83347,0.65358,0.87366,0.68948,1.23498,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7028.36,0.82677,0.87554,1.3024,0.81877,0.84412,0.8298,0.65549,0.86625,0.68582,1.22899,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7096.68,0.82001,0.86667,1.29729,0.83272,0.82979,0.83679,0.65831,0.86694,0.69175,1.2237,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7164.86,0.81407,0.8612,1.28849,0.81513,0.83706,0.83213,0.65524,0.87559,0.68488,1.23324,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7233.32,0.81234,0.85923,1.29265,0.82343,0.82332,0.83282,0.65561,0.87672,0.69214,1.23775,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7301.89,0.8134,0.84142,1.28939,0.82613,0.8388,0.83362,0.65691,0.88193,0.68702,1.24708,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7369.16,0.81041,0.85424,1.29123,0.81414,0.84469,0.82938,0.65507,0.87721,0.68074,1.24267,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7436.79,0.81038,0.83646,1.28467,0.8065,0.85298,0.82828,0.6531,0.8677,0.68903,1.22778,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7504.45,0.81574,0.83796,1.29335,0.8049,0.84796,0.8308,0.6538,0.86343,0.68839,1.2243,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7572.53,0.80355,0.83587,1.28075,0.80388,0.85963,0.82787,0.65432,0.86157,0.68764,1.2236,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7640.89,0.79515,0.83301,1.2779,0.81694,0.85011,0.82917,0.65306,0.86475,0.68789,1.22689,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7709.5,0.79359,0.81806,1.27512,0.80925,0.85225,0.83229,0.6541,0.86631,0.69212,1.23017,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7777.35,0.79168,0.81539,1.27431,0.81098,0.84604,0.83241,0.6544,0.86336,0.68657,1.22729,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7845.12,0.79254,0.80807,1.27714,0.81297,0.84112,0.8293,0.65208,0.8668,0.69274,1.22973,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7912.69,0.78666,0.80526,1.26889,0.81352,0.84573,0.83371,0.65413,0.86776,0.6906,1.22891,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7980.54,0.7777,0.79769,1.26344,0.81129,0.8401,0.83097,0.65253,0.86921,0.69445,1.22859,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8183.11,0.79737,0.66408,1.32215,0.80898,0.84687,0.8309,0.65257,0.87039,0.69021,1.2304,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8292.64,0.78249,0.62198,1.30639,0.81735,0.84441,0.83212,0.654,0.86822,0.68558,1.22988,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8383.71,0.76386,0.60281,1.28767,0.81026,0.86276,0.83265,0.65348,0.86809,0.68248,1.23126,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8456,0.76445,0.59674,1.28998,0.81684,0.8471,0.83294,0.65595,0.8676,0.68118,1.2315,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,8519.29,0.75833,0.58507,1.28561,0.81619,0.84866,0.834,0.65588,0.8673,0.67878,1.23506,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,8583.15,0.74619,0.58499,1.27429,0.81049,0.85062,0.83357,0.65528,0.86454,0.67786,1.23344,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,8659.83,0.74229,0.56732,1.2695,0.80499,0.86325,0.83234,0.65415,0.86508,0.67867,1.23501,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,8723.74,0.73853,0.56031,1.26402,0.81389,0.85302,0.83383,0.65424,0.86442,0.68156,1.23433,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,8799.79,0.73424,0.56119,1.26288,0.817,0.85806,0.83449,0.65468,0.86528,0.67999,1.23616,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,8876.89,0.72975,0.54984,1.26135,0.81665,0.85506,0.83281,0.65479,0.86447,0.67911,1.23579,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
