epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
34,480.914,1.5523,3.54493,2.04914,1.54131,0,0.51685,0.39101,0.3871,0.235,0.50156,0.38556,0.37789,0.20249,1.35229,2.62318,1.69732,1.33531,0,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203
35,489.909,1.54812,3.55749,2.05316,1.52735,0,0.43935,0.45363,0.38867,0.23845,0.43607,0.43703,0.37978,0.20725,1.34104,2.60116,1.68809,1.33421,0,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031
36,507.362,1.55079,3.55481,2.04011,1.53663,0,0.4203,0.45687,0.40233,0.24982,0.41774,0.45762,0.40106,0.2146,1.33948,2.58415,1.6703,1.33291,0,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031
37,521.725,1.58571,3.59945,2.04695,1.55952,0,0.47545,0.43277,0.39617,0.24763,0.46372,0.43098,0.39085,0.21274,1.3203,2.58695,1.65638,1.3186,0,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032
38,530.858,1.51477,3.57112,1.9972,1.51238,0,0.52921,0.40396,0.395,0.24165,0.52248,0.4055,0.3874,0.20833,1.34238,2.59572,1.66817,1.32895,0,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033
39,539.99,1.51785,3.51185,1.97856,1.50184,0,0.4834,0.41259,0.38907,0.239,0.48196,0.41268,0.38965,0.21,1.34041,2.60838,1.66749,1.32876,0,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034
40,549.129,1.48902,3.45456,1.95363,1.49117,0,0.52062,0.40246,0.39969,0.24759,0.52644,0.40496,0.40212,0.21596,1.3354,2.5994,1.64856,1.32335,0,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035
41,558.051,1.49881,3.46868,1.95801,1.49847,0,0.47488,0.43542,0.41272,0.25952,0.47263,0.4299,0.40985,0.22648,1.33506,2.59167,1.64414,1.323,0,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036
42,567.074,1.50898,3.49525,1.98003,1.51058,0,0.52681,0.41402,0.41309,0.25405,0.53158,0.41743,0.40997,0.22158,1.34843,2.59807,1.65603,1.3296,0,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037
43,576.161,1.48072,3.43119,1.91209,1.48089,0,0.4795,0.44198,0.42089,0.25846,0.48529,0.44518,0.41591,0.22295,1.33097,2.58277,1.61816,1.31561,0,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038
